name	category	lang	homepage	desc_cn	desc_en	binlist	rule
dasel	data-json-yml	go	https://github.com/tomwright/dasel	使用单个工具从 JSON、TOML、YAML、XML 和 CSV 文件中选择、放置和删除数据。支持格式之间的转换，可以作为 Go 包使用。	Select, put and delete data from JSON, TOML, YAML, XML and CSV files with a single tool. Supports conversion between formats and can be used as a Go package.	dasel	{"/x":{"cmd":"x pkg use dasel","reference":"https://x-cmd.com/install/"},"/asdf":{"cmd":"x asdf use dasel","reference":"https://github.com/asdf-community/asdf-dasel"},"darwin/brew":{"cmd":"brew install dasel","reference":"https://formulae.brew.sh/formula/dasel#default"},"arch/yay":{"cmd":"yay -S dasel","reference":"https://aur.archlinux.org/packages/dasel"}}
drivel	data-json-yml	rust	https://github.com/hgrsd/drivel	drivel 是一个用 Rust 编写的命令行工具，用于从示例 JSON（或 JSON 行）文件中推断模式，并根据推断的模式生成合成数据（所讨论的 drivel）	drivel is a command-line tool written in Rust for inferring a schema from an example JSON (or JSON lines) file, and generating synthetic data (the drivel in question) based on the inferred schema.	drivel	{"/cargo":{"cmd":"cargo install drivel","reference":"https://github.com/hgrsd/drivel?tab=readme-ov-file#installation","dsnap":"drivel"}}
gojo	data-json-yml	Go	https://github.com/itchyny/gojo	jo 的另一个 Go 实现	Yet another Go implementation of jo	gojo	{"/x":{"cmd":"x pkg use gojo","reference":"https://x-cmd.com/install/"},"darwin/brew":{"cmd":"brew install itchyny/tap/gojo","reference":"https://github.com/itchyny/gojo?tab=readme-ov-file#homebrew"},"/go":{"cmd":"go install github.com/itchyny/gojo/cmd/gojo@latest","reference":"https://github.com/itchyny/gojo?tab=readme-ov-file#build-from-source","dsnap":"github.com/itchyny/gojo/cmd/gojo@latest"}}
jellex	data-json-yml	Python	https://github.com/kellyjonbrazil/jellex	一个使用 Python 语法过滤 JSON 和 JSON Lines 数据的 TUI	A TUI to filter JSON and JSON Lines data with Python syntax.	jellex	{"/pip":{"cmd":"pip install jellex","reference":"https://github.com/kellyjonbrazil/jellex?tab=readme-ov-file#install","dsnap":"jellex"},"arch/yay":{"cmd":"yay -S jellex","reference":"https://aur.archlinux.org/packages/jellex"}}
fx	data-json-yml	go	https://fx.wtf/	Fx 是为 JSON 量身定制的双重用途命令行工具，它提供了基于终端的 JSON 查看器和 JSON 处理实用程序	Fx is a dual-purpose command-line tool tailored for JSON, providing both a terminal-based JSON viewer and a JSON processing utility	fx	{"/x":{"cmd":"x pkg use fx","reference":"https://x-cmd.com/install/"},"/asdf":{"cmd":"x asdf use fx","reference":"https://gitlab.com/wt0f/asdf-fx"},"darwin/brew":{"cmd":"brew install fx","reference":"https://fx.wtf/install"},"/snap":{"cmd":"snap install fx","reference":"https://fx.wtf/install"},"(win|wsl2)/scoop":{"cmd":"x scoop install fx","reference":"https://fx.wtf/install"},"/pacman":{"cmd":"sudo pacman -S fx","reference":"https://fx.wtf/install"},"/pkg":{"cmd":"pkg install fx","reference":"https://fx.wtf/install"},"/go":{"cmd":"go install github.com/antonmedv/fx@latest","reference":"https://fx.wtf/install","dsnap":"github.com/antonmedv/fx@latest"}}
gojq	data-json-yml	Go	https://github.com/itchyny/gojq	纯用 Go 实现的 jq	Pure Go implementation of jq	gojq	{"/x":{"cmd":"x pkg use gojq","reference":"https://x-cmd.com/install/"},"darwin/brew":{"cmd":"brew install gojq","reference":"https://github.com/itchyny/gojq?tab=readme-ov-file#homebrew"},"/0install":{"cmd":"0install add gojq https://apps.0install.net/utils/gojq.xml","reference":"https://github.com/itchyny/gojq?tab=readme-ov-file#zero-install"},"/go":{"cmd":"go install github.com/itchyny/gojq/cmd/gojq@latest","reference":"https://github.com/itchyny/gojq?tab=readme-ov-file#build-from-source","dsnap":"github.com/itchyny/gojq/cmd/gojq@latest"},"/docker":{"cmd":"docker run -i --rm ghcr.io/itchyny/gojq","reference":"https://github.com/itchyny/gojq?tab=readme-ov-file#docker"},"arch/yay":{"cmd":"yay -S gojq","reference":"https://aur.archlinux.org/packages/gojq"}}
tv-cli	data-json-yml	python	https://trafilatura.readthedocs.io/en/latest/installation.html#command-line-tool	将 json 数据格式化表格进行查看	Format json into table view	tv-cli	{"/cargo":{"cmd":"cargo install tv-cli","reference":"https://github.com/uzimaru0000/tv?tab=readme-ov-file#use-cargo","dsnap":"tv-cli"},"darwin/brew":{"cmd":"brew install uzimaru0000/tap/tv","reference":"https://github.com/uzimaru0000/tv?tab=readme-ov-file#for-macos"}}
qq	data-json-yml	Go	https://github.com/JFryy/qq	jq，但具有许多互操作配置格式转换和交互式查询。	jq, but with many interoperable configuration format transcodings and interactive querying.	qq	{"arch/yay":{"cmd":"yay qq-git","reference":"https://github.com/JFryy/qq/?tab=readme-ov-file#installation"},"/brew":{"cmd":"brew install jfryy/tap/qq","reference":"https://github.com/JFryy/qq/?tab=readme-ov-file#installation"},"/go":{"cmd":"go install github.com/JFryy/qq/cli@latest","reference":"https://github.com/JFryy/qq/?tab=readme-ov-file#installation","dsnap":"qq/cli"}}
cointop	blockchain	go	https://docs.cointop.sh/	cointop 是一个基于快速且轻巧的交互式终端的 UI 应用程序，用于实时跟踪和监视加密货币硬币统计信息	cointop is a fast and lightweight interactive terminal based UI application for tracking and monitoring cryptocurrency coin stats in real-time	cointop	{"/curl":{"cmd":"curl -o- https://raw.githubusercontent.com/cointop-sh/cointop/master/install.sh | bash","reference":"https://docs.cointop.sh/install/#binary-all-platforms"},"/wget":{"cmd":"wget -qO- https://raw.githubusercontent.com/cointop-sh/cointop/master/install.sh | bash","reference":"https://docs.cointop.sh/install/#binary-all-platforms"},"/build":{"cmd":"git clone git@github.com:benthosdev/benthos \\\n&& cd benthos \\\n&& make\n","reference":"https://github.com/benthosdev/benthos?tab=readme-ov-file#build"},"darwin/brew":{"cmd":"brew install cointop","reference":"https://docs.cointop.sh/install/#homebrew-macos"},"/go":{"cmd":"go install github.com/cointop-sh/cointop@latest","reference":"https://docs.cointop.sh/install/#from-source-always-latest-and-recommended","dsnap":"github.com/cointop-sh/cointop@latest"},"ubuntu/snap":{"cmd":"sudo snap install cointop --stable","reference":"https://docs.cointop.sh/install/#snap-ubuntu"},"fedora/dnf":{"cmd":"sudo dnf copr enable miguelmota/cointop -y \\\n&& sudo dnf install cointo\n","reference":"https://docs.cointop.sh/install/#copr-fedora","dsnap":"cointop"},"arch/yay":{"cmd":"git clone https://aur.archlinux.org/cointop.git \\\n&& cd cointop \\\n&& makepkg -si \\\n&& yay -S cointop\n","reference":"https://docs.cointop.sh/install/#aur-arch-linux"},"void/xbps":{"cmd":"sudo xbps-install -S cointop","reference":"https://docs.cointop.sh/install/#xbps-void-linux"},"/nixpkgs":{"cmd":"nix-env -iA nixpkgs.cointop","reference":"https://docs.cointop.sh/install/#nixos-linux"},"(win|wsl2)/go":{"cmd":"go get -u github.com/cointop-sh/cointop","reference":"https://docs.cointop.sh/install/#windows-powershell--wsl"}}
bitcoin	blockchain	c++	https://bitcoincore.org/	比特币核心连接到比特币对等网络以下载并完全验证块和交易	Bitcoin Core connects to the Bitcoin peer-to-peer network to download and fully validate blocks and transactions	bitcoin	{"darwin/brew":{"cmd":"brew install bitcoin","reference":"https://formulae.brew.sh/formula/bitcoin#default"}}
ord	blockchain	Rust	https://docs.ordinals.com	ord 是一个索引、区块浏览器和命令行钱包	ord is an index, block explorer, and command-line wallet	ord	{"/curl":{"cmd":"curl --proto '=https' --tlsv1.2 -fsLS https://ordinals.com/install.sh | bash -s","reference":"https://github.com/ordinals/ord?tab=readme-ov-file#installation"},"darwin/brew":{"cmd":"brew install ord","reference":"https://github.com/ordinals/ord?tab=readme-ov-file#homebrew"}}
lighthouse	blockchain	rust	https://lighthouse.sigmaprime.io/	一个开源以太网共识客户端，用 Rust 语言编写，由 Sigma Prime 维护	An open-source Ethereum consensus client, written in Rust and maintained by Sigma Prime	lighthouse	{"darwin/brew":{"cmd":"brew install lighthouse","reference":"https://formulae.brew.sh/formula/lighthouse#default"},"arch/yay":{"cmd":"yay -S lighthouse-ethereum-bin","reference":"https://aur.archlinux.org/packages/lighthouse-ethereum-bin"}}
kaspa-miner	blockchain	rust	https://github.com/elichai/kaspa-miner	Kaspa 的快速 CPU 矿工	A fast CPU miner for Kaspa	kaspa-miner	{"/cargo":{"cmd":"cargo install kaspa-miner","reference":"https://github.com/elichai/kaspa-miner?tab=readme-ov-file#from-sources","dsnap":"kaspa-miner"}}
exiftool	lang-perl-raku	perl	https://exiftool.org/	用于读取和写入 EXIF 元数据的 Perl 库	Perl lib for reading and writing EXIF metadata	exiftool	{"darwin/brew":{"cmd":"yaytall exiftool","reference":"https://formulae.brew.sh/formula/exiftool#default"},"(win|wsl2)/scoop":{"cmd":"x scoop install exiftool","reference":"https://scoop.sh/#/apps?q=ExifTool"},"arch/yay":{"cmd":"sudo yay -S perl-image-exiftool","reference":"https://www.archlinux.org/packages/extra/any/perl-image-exiftool/"}}
cpanminus	lang-perl-raku	Perl	https://github.com/miyagawa/cpanminus	从 CPAN 获取、解压缩、构建和安装模块	Get, unpack, build, and install modules from CPAN	cpanminus	{"darwin/brew":{"cmd":"brew install cpanminus","reference":"https://formulae.brew.sh/formula/cpanminus#default"}}
podlators	lang-perl-raku	perl	https://www.eyrie.org/~eagle/software/podlators/	安装 podlators	Install podlators	podlators	{"/perl":{"cmd":"perl Makefile.PL\nmake\nmake install\n","reference":"https://github.com/rra/podlators"}}
cpan	lang-perl-raku	Perl	https://metacpan.org/	免费、开放的 API，可满足您想了解的有关 CPAN 的所有信息	A free, open API for everything you want to know about CPAN	cpan	{"/cpan":{"cmd":"cpan App::cpanminus","reference":"https://www.cpan.org/modules/INSTALL.html"}}
perl	lang-perl-raku	perl	https://learn.perl.org/installing/	一种通用脚本语言，具有强大的文本处理和正则表达式功能	A general scripting language with powerful text processing and regular expression functions	perl	{"/x":{"cmd":"x pkg use perl","reference":"https://x-cmd.com/install/"},"/asdf":{"cmd":"x asdf use perl","reference":"https://github.com/ouest/asdf-perl"},"darwin/curl":{"cmd":"yayhttp://xrl.us/installperlosx | bash","reference":"https://learn.perl.org/installing/osx.html"},"linux/curl":{"cmd":"curl -L http://xrl.us/installperlnix | bash","reference":"https://learn.perl.org/installing/unix_linux.html"},"arch/yay":{"cmd":"sudo yay -S perl","reference":"https://archlinux.org/packages/core/x86_64/perl/"}}
raku	lang-perl-raku	Raku	https://rakudo.org/	一种通用的、渐进式类型的编程语言，支持多重编程范式	A general, progressive type of programming language that supports multiple programming paradigms	raku	{"/x":{"cmd":"x pkg use raku","reference":"https://x-cmd.com/install/"},"/asdf":{"cmd":"x asdf use raku","reference":"https://github.com/m-dango/asdf-raku"},"darwin/brew":{"cmd":"brew install rakudo","reference":"https://rakudo.org/downloads"},"darwin/port":{"cmd":"sudo port selfupdate && sudo port install rakudo","reference":"https://rakudo.org/downloads"},"debian/apt":{"cmd":"sudo apt-get install rakudo","reference":"https://github.com/nodejs/snap#installation","dsnap":"rakudo"},"ubuntu/apt":{"cmd":"sudo apt-get install rakudo","reference":"https://github.com/nodejs/snap#installation","dsnap":"rakudo"},"alpine/apk":{"cmd":"sudo apk add rakudo","reference":"https://nodejs.org/en/download/package-manager#alpine-linux","dsnap":"rakudo"},"kali/apt":{"cmd":"yay-get install rakudo","reference":"https://github.com/nodejs/snap#installation","dsnap":"rakudo"},"fedora/dnf":{"cmd":"sudo dnf install rakudo","reference":"https://nodejs.org/en/download/package-manager#centos-fedora-and-red-hat-enterprise-linux","dsnap":"rakudo"},"raspbian/apt":{"cmd":"sudo apt-get install rakudo","reference":"https://github.com/nodejs/snap#installation"},"opensuse/zypper":{"cmd":"sudo zypper install rakudo","reference":"https://nodejs.org/en/download/package-manager#opensuse-and-sle"},"gentoo/emerge":{"cmd":"sudo emerge --ask --verbose dev-lang/rakudo","reference":"https://nodejs.org/en/download/package-manager#gentoo"},"nix/nixpkgs":{"cmd":"sudo nix-env -iA nixos.rakudo","reference":"https://rakudo.org/downloads"},"(win|wsl2)/scoop":{"cmd":"x scoop install rakudo-moar","reference":"https://rakudo.org/downloads"},"arch/yay":{"cmd":"sudo yay -S rakudo","reference":"https://linux-packages.com/aur/package/rakudo"}}
wasmer	wasm	rust	https://wasmer.io/	Wasmer 是一个快速和安全的 WebAssembly 运行时	Wasmer is a blazing fast and secure WebAssembly runtime	wasmer	{"/x":{"cmd":"x pkg use wasmer","reference":"https://x-cmd.com/install/"},"/asdf":{"cmd":"x asdf use wasmer","reference":"https://github.com/tachyonicbytes/asdf-wasmer"},"/curl":{"cmd":"curl https://get.wasmer.io -sSfL | sh","reference":"https://wasmer.io/"},"(win|wsl2)/scoop":{"cmd":"x scoop install wasmer","reference":"https://github.com/wasmerio/wasmer-install?tab=readme-ov-file#install-via-package-manager"},"(win|wsl2)/choco":{"cmd":"x choco install wasmer","reference":"https://github.com/wasmerio/wasmer-install?tab=readme-ov-file#install-via-package-manager"},"/cargo":{"cmd":"cargo install wasmer-cli --features singlepass,cranelift","reference":"https://github.com/wasmerio/wasmer-install?tab=readme-ov-file#install-via-package-manager","dsnap":"wasmer-cli"},"darwin/brew":{"cmd":"brew install wasmer","reference":"https://formulae.brew.sh/formula/wasmer#default"},"arch/yay":{"cmd":"yay -S wasmer-git","reference":"https://aur.archlinux.org/packages/wasmer-git"}}
jco	wasm	Rust	https://github.com/bytecodealliance/jco	用于使用 WebAssembly 组件的 JavaScript 工具	JavaScript tooling for working with WebAssembly Components	jco	{"/x":{"cmd":"x pkg use jco","reference":"https://x-cmd.com/install/"},"/npm":{"cmd":"npm install @bytecodealliance/jco","reference":"https://github.com/bytecodealliance/jco?tab=readme-ov-file#installation","dsnap":"@bytecodealliance/jco"}}
wabt	wasm	C++	https://github.com/WebAssembly/wabt	WABT（我们发音为“wabbit”）是一套用于 WebAssembly 的工具	WABT (we pronounce it \"wabbit\") is a suite of tools for WebAssembly	wabt	{"/x":{"cmd":"x pkg use wabt","reference":"https://x-cmd.com/install/"},"darwin/wabt":{"cmd":"brew install wabt","reference":"https://formulae.brew.sh/formula/wabt#default"},"(win|wsl2)/scoop":{"cmd":"x scoop bucket add extras && x scoop install extras/wabt","reference":"https://scoop.sh/#/apps?q=wabt"},"/nix-shell":{"cmd":"nix-shell -p wabt","reference":"https://search.nixos.org/packages?channel=unstable&show=wabt&from=0&size=50&sort=relevance&type=packages&query=wabt"},"/nix-env":{"cmd":"nix-env -iA nixos.wabt","reference":"https://search.nixos.org/packages?channel=unstable&show=wabt&from=0&size=50&sort=relevance&type=packages&query=wabt"},"debian/apt":{"cmd":"sudo apt-get install wabt","reference":"https://installati.one/install-wabt-ubuntu-22-04/#install-wabt-using-apt-get","dsnap":"wabt"},"ubuntu/apt":{"cmd":"sudo apt-get install wabt","reference":"https://installati.one/install-wabt-ubuntu-22-04/#install-wabt-using-apt-get","dsnap":"wabt"},"kali/apt":{"cmd":"sudo apt-get install wabt","reference":"https://installati.one/install-wabt-ubuntu-22-04/#install-wabt-using-apt-get","dsnap":"wabt"},"raspbian/apt":{"cmd":"sudo apt-get install wabt","reference":"https://installati.one/install-wabt-ubuntu-22-04/#install-wabt-using-apt-get"},"/aptitude":{"cmd":"sudo aptitude -y install wabt","reference":"https://installati.one/install-wabt-ubuntu-22-04/#install-wabt-using-aptitude"},"arch/yay":{"cmd":"yay -S wabt-git","reference":"https://aur.archlinux.org/packages/wabt-git"}}
wasm-tools	wasm	Rust	https://github.com/bytecodealliance/wasm-tools	用于 WebAssembly 模块低级操作的 CLI 和 Rust 库	CLI and Rust libraries for low-level manipulation of WebAssembly modules	wasm-tools	{"/x":{"cmd":"x pkg use wasm-tools","reference":"https://x-cmd.com/install/"},"/cargo":{"cmd":"cargo install wasm-tools","reference":"https://github.com/bytecodealliance/wasm-tools?tab=readme-ov-file#installation","dsnap":"wasm-tools"},"arch/yay":{"cmd":"yay -S wasm-tools-git","reference":"https://aur.archlinux.org/packages/wasm-tools-git"}}
wasmtime	wasm	rust	https://wasmtime.dev/	一个快速、安全的 WebAssembly 运行时	A fast and secure runtime for WebAssembly	wasmtime	{"/x":{"cmd":"x pkg use wasmtime","reference":"https://x-cmd.com/install/"},"/asdf":{"cmd":"x asdf use wasmtime","reference":"https://github.com/tachyonicbytes/asdf-wasmtime"},"/curl":{"cmd":"curl https://wasmtime.dev/install.sh -sSf | bash","reference":"https://wasmer.io/"},"darwin/brew":{"cmd":"brew install wasmtime","reference":"https://formulae.brew.sh/formula/wasmtime#default"},"arch/yay":{"cmd":"yay -S wasmtime-git","reference":"https://aur.archlinux.org/packages/wasmtime-git"}}
wasm-pack	wasm	Rust	https://rustwasm.github.io/wasm-pack/	wasm-pack 是一个用于构建和使用由 Rust 生成的 WebAssembly 的工具，可以轻松地与 JavaScript 集成。	wasm-pack is a tool for building and using Rust-generated WebAssembly that can be easily integrated with JavaScript.	wasm-pack	{"/curl":{"cmd":"curl https://rustwasm.github.io/wasm-pack/installer/init.sh -sSf | sh","reference":"https://rustwasm.github.io/wasm-pack/installer/"},"darwin/brew":{"cmd":"brew install wasm-pack","reference":"https://formulae.brew.sh/formula/wasm-pack#default"},"/npm":{"cmd":"npm install -g wasm-pack","reference":"https://rustwasm.github.io/wasm-pack/installer/"},"/cargo":{"cmd":"cargo install wasm-pack","reference":"https://rustwasm.github.io/wasm-pack/installer/","dsnap":"wasm-pack"},"/yarn":{"cmd":"yarn global add wasm-pack","reference":"https://rustwasm.github.io/wasm-pack/installer/"},"arch/yay":{"cmd":"yay -S wasm-pack-bin","reference":"https://aur.archlinux.org/packages/wasm-pack-bin"}}
wasmedge	wasm	C++	https://wasmedge.org/	WasmEdge 是一个轻量级、高性能和可扩展的 WebAssembly 运行时，适用于云原生、边缘和去中心化应用程序	WasmEdge is a lightweight, high-performance, and extensible WebAssembly runtime for cloud-native, edge, and decentralized applications	wasmedge	{"/x":{"cmd":"x pkg use wasmedge","reference":"https://x-cmd.com/install/"},"linux/curl":{"cmd":"curl -sSf https://raw.githubusercontent.com/WasmEdge/WasmEdge/master/utils/install.sh | bash","reference":"https://wasmedge.org/docs/start/install#generic-linux-and-macos"},"darwin/curl":{"cmd":"curl -sSf https://raw.githubusercontent.com/WasmEdge/WasmEdge/master/utils/install.sh | bash","reference":"https://wasmedge.org/docs/start/install#generic-linux-and-macos"},"(win|wsl2)/winget":{"cmd":"x winget install wasmedge","reference":"https://wasmedge.org/docs/start/install#windows"},"fedora/dnf":{"cmd":"sudo dnf install wasmedge","reference":"https://wasmedge.org/docs/start/install#fedora-and-red-hat-linux"},"arch/yay":{"cmd":"yay -S wasmedge","reference":"https://aur.archlinux.org/packages/wasmedge"}}
pokete	entertainment	Python	https://github.com/lxgr-linux/pokete	类似口袋妖怪的游戏	A terminal based Pokemon like game	pokete	{"arch/yay":{"cmd":"yay -S pokete","reference":"https://aur.archlinux.org/packages/pokete"},"/pip":{"cmd":"pip install pokete","reference":"https://github.com/lxgr-linux/pokete?tab=readme-ov-file#installation","dsnap":"pokete"}}
lutris	entertainment	Python	https://lutris.net/	Lutris 是 Linux 平台上的开源游戏平台，致力于帮助玩家安装和畅玩各个时代和平台的电子游戏	Lutris is a video game preservation platform aiming to keep your video game collection up and running for the years to come	lutris	{"/flatpak":{"cmd":"flatpak install flathub --user -y net.lutris.Lutris","reference":"https://lutris.net/downloads"},"debian/apt":{"cmd":"echo \"deb [signed-by=/etc/apt/keyrings/lutris.gpg] https://download.opensuse.org/repositories/home:/strycore/Debian_12/ ./\" | sudo tee /etc/apt/sources.list.d/lutris.list > /dev/null && \\\nwget -q -O- https://download.opensuse.org/repositories/home:/strycore/Debian_12/Release.key | gpg --dearmor | sudo tee /etc/apt/keyrings/lutris.gpg > /dev/null && \\\nsudo apt update && \\\nsudo apt install lutris && \\\n","reference":"https://lutris.net/downloads","dsnap":"lutris"},"fedora/dnf":{"cmd":"sudo dnf install lutris","reference":"https://lutris.net/downloads","dsnap":"lutris"},"opensuse/zypper":{"cmd":"sudo zypper in lutris","reference":"https://lutris.net/downloads"},"arch/pacman":{"cmd":"sudo pacman -S lutris","reference":"https://lutris.net/downloads"},"manjaro/pacman":{"cmd":"sudo pacman -S lutris","reference":"https://lutris.net/downloads"},"solus/eopkg":{"cmd":"sudo eopkg install lutris","reference":"https://lutris.net/downloads"}}
typeinc	entertainment	Python	https://github.com/AnirudhG07/typeinc	Typeinc 是一个基于 ncurses 的炫酷打字速度测试工具，允许你在终端中享受打字体验，并提供不同的难度等级。	Typeinc is a cool ncurses based Typing Speed Test tool where you can enjoy typing experience in Terminal with different difficulty levels.	typeinc	{"/pip":{"cmd":"pip install typeinc","reference":"https://github.com/AnirudhG07/typeinc?tab=readme-ov-file#-pip-installation","dsnap":"typeinc"},"darwin/brew":{"cmd":"brew tap anirudhg07/anirudhg07 && \\\nbrew install typeinc\n","reference":"https://github.com/AnirudhG07/typeinc?tab=readme-ov-file#-homebrew-installation"}}
ttyper	entertainment	Rust	https://github.com/max-niederman/ttyper	ttyper 是一个使用 Rust 和 Ratatui 构建的基于终端的打字测试	ttyper is a terminal-based typing test built with Rust and Ratatui	ttyper	{"/cargo":{"cmd":"cargo install ttyper","reference":"https://github.com/max-niederman/ttyper?tab=readme-ov-file#cargo","dsnap":"ttyper"},"arch/pacman":{"cmd":"sudo pacman -S ttyper","reference":"https://github.com/max-niederman/ttyper?tab=readme-ov-file#arch-linux"},"/nix-env":{"cmd":"nix-env -iA nixpkgs.ttyper","reference":"https://github.com/max-niederman/ttyper?tab=readme-ov-file#nix"},"(win|wsl2)/scoop":{"cmd":"x scoop install ttyper","reference":"https://github.com/max-niederman/ttyper?tab=readme-ov-file#scoop"}}
genact	entertainment	Rust	https://github.com/svenstaro/genact	一个无意义的活动发生器	A nonsense activity generator	genact	{"/x":{"cmd":"x pkg use genact","reference":"https://x-cmd.com/install/"},"freebsd/pkg":{"cmd":"pkg install genact","reference":"https://github.com/svenstaro/genact?tab=readme-ov-file#installation"},"darwin/brew":{"cmd":"brew install genact","reference":"https://github.com/svenstaro/genact?tab=readme-ov-file#installation"},"/port":{"cmd":"sudo port install genact","reference":"https://github.com/svenstaro/genact?tab=readme-ov-file#installation"},"(win|wsl2)/scoop":{"cmd":"x scoop install genact","reference":"https://github.com/svenstaro/genact?tab=readme-ov-file#installation"},"/cargo":{"cmd":"cargo install genact","reference":"https://github.com/svenstaro/genact?tab=readme-ov-file#installation","dsnap":"genact"},"win/powershell":{"cmd":"x pwsh Invoke-WebRequest -Uri https://github.com/svenstaro/genact/releases/download/v1.3.0/genact-1.3.0-x86_64-pc-windows-msvc.exe -OutFile genact-1.3.0-x86_64-pc-windows-msvc.exe","reference":"https://github.com/svenstaro/genact?tab=readme-ov-file#installation"},"linux/curl":{"cmd":"curl -L https://github.com/svenstaro/genact/releases/download/v1.3.0/genact-1.3.0-x86_64-unknown-linux-gnu -o genact-linux && \\\nchmod +x genact-linux\n","reference":"https://github.com/svenstaro/genact?tab=readme-ov-file#installation"},"linux/wget":{"cmd":"wget https://github.com/svenstaro/genact/releases/download/v1.3.0/genact-1.3.0-x86_64-unknown-linux-gnu -o genact-linux && \\\ncbmod +x genact-linux\n","reference":"https://github.com/svenstaro/genact?tab=readme-ov-file#installation"},"darwin/curl":{"cmd":"curl -L https://github.com/svenstaro/genact/releases/download/v1.3.0/genact-1.3.0-x86_64-apple-darwin -o genact-osx && \\\nchmod +x genact-osx\n","reference":"https://github.com/svenstaro/genact?tab=readme-ov-file#installation"}}
typioca	entertainment	Go	https://github.com/bloznelis/typioca	终端中舒适的打字速度测试器。	Cozy typing speed tester in terminal.	typioca	{"/yay":{"cmd":"yay -S typioca-git","reference":"https://github.com/bloznelis/typioca?tab=readme-ov-file#aur"},"nix/nix-shell":{"cmd":"nix-shell -p typioca","reference":"https://github.com/bloznelis/typioca"},"/brew":{"cmd":"brew install typioca","reference":"https://github.com/bloznelis/typioca?tab=readme-ov-file#homebrew"},"opensuse/zypper":{"cmd":"sudo zypper install typioca","reference":"https://github.com/bloznelis/typioca?tab=readme-ov-file#opensuse-tumbleweed"},"(win|wsl2)/scoop":{"cmd":"scoop install typioca","reference":"https://github.com/bloznelis/typioca?tab=readme-ov-file#scoop"},"(win|wsl2)/winget":{"cmd":"winget install bloznelis.typioca","reference":"https://github.com/bloznelis/typioca?tab=readme-ov-file#winget"},"void/xbps":{"cmd":"sudo xbps-install typioca","reference":"https://github.com/bloznelis/typioca?tab=readme-ov-file#void-linux"},"/go":{"cmd":"go install github.com/bloznelis/typioca@latest","reference":"https://github.com/bloznelis/typioca?tab=readme-ov-file#go","dsnap":"github.com/bloznelis/typioca@latest"}}
anidbcli	entertainment	Python	https://github.com/adameste/anidbcli	Anidbcli 是一个简单的命令行界面，用于在本地计算机或 NAS 上管理动漫集合（仅使用 SSH）	Anidbcli is a simple command line interface for managing your anime collection on your local computer or NAS (using only ssh)	anidbcli	{"/x":{"cmd":"x pkg use anidbcli","reference":"https://x-cmd.com/install/"},"/pip":{"cmd":"pip install anidbcli","reference":"https://github.com/adameste/anidbcli?tab=readme-ov-file#installation","dsnap":"anidbcli"}}
shtris	entertainment	shell	https://contentsviewer.work/Master/ShellScript/Apps/Tetris/Tetris	一个由 shell 实现的俄罗斯方块游戏	A Tetris game implemented by a shell	shtris	{"/x":{"cmd":"x pkg use shtris","reference":"https://x-cmd.com/install/"},"/wget":{"cmd":"wget https://raw.githubusercontent.com/ContentsViewer/shtris/v3.0.0/shtris \\\n&& chmod +x shtris \\\n&& ./shtris\n","reference":"https://github.com/ContentsViewer/shtris#usage"}}
rebels-in-the-sky	entertainment	Rust	https://rebels.frittura.org/	太空海盗穿越银河打篮球的 P2P 终端游戏	P2P terminal game about spacepirates playing basketball across the galaxy	rebels-in-the-sky	{"arch/pacman":{"cmd":"sudo pacman -S rebels-in-the-sky","reference":"https://github.com/ricott1/rebels-in-the-sky?tab=readme-ov-file#arch-linux"}}
nethack	entertainment	C	https://www.nethack.org/	一款经典的开源 roguelike 地牢探险游戏，以其深度、复杂性和极高的重玩价值闻名	A classic open-source roguelike dungeon exploration game, renowned for its depth, complexity, and immense replayability.	nethack	{"darwin/brew":{"cmd":"brew install nethack","reference":"https://formulae.brew.sh/formula/nethack#default"},"alpine/apk":{"cmd":"apk add nethack","reference":"https://pkgs.alpinelinux.org/package/edge/community/x86_64/nethack","dsnap":"nethack"},"ubuntu/apt":{"cmd":"apt install nethack-console","reference":"https://packages.ubuntu.com/oracular/nethack","dsnap":"nethack-console"},"fedora/dnf":{"cmd":"dnf install nethack","reference":"https://packages.fedoraproject.org/pkgs/nethack/nethack/","dsnap":"nethack"},"arch/pacman":{"cmd":"pacman -S nethack","reference":"https://archlinux.org/packages/extra/x86_64/nethack/"},"(win|wsl2)/scoop":{"cmd":"scoop bucket add games && scoop install games/nethack","reference":"https://scoop.sh/#/apps?q=nethack"}}
dwarf-fortress	entertainment	C++	https://www.bay12games.com/dwarves	《Dwarf Fortress》（矮人要塞），一款极具深度的建造与模拟游戏，以复杂的系统与自由度闻名	Dwarf Fortress is a deeply complex building and simulation game, known for its intricate systems and high player freedom.	dwarffortress	{"(win|wsl2)/scoop":{"cmd":"x scoop bucket add games\nx scoop install games/dwarf-fortress\n","reference":"https://scoop.sh/#/apps?q=dwarf-fortress"},"ubuntu/apt":{"cmd":"apt install dwarf-fortress","reference":"https://packages.ubuntu.com/oracular/dwarf-fortress","dsnap":"dwarf-fortress"}}
